id	DBI	TOMM7	TNX	NDUFB3	group
GSM4187187	10.49631582	12.27489059	11.38545292	10.08361471	Control
GSM4187189	9.855384198	11.67810672	10.94652271	10.02609787	Control
GSM4187191	10.44476938	11.88050395	11.89682341	10.97606476	Control
GSM4187192	10.74182228	12.40314048	11.72574508	10.59513638	Control
GSM4187193	10.72593786	11.85463618	10.94878001	10.59149469	Control
GSM4187194	9.329239649	11.03165747	11.70597948	9.707421613	Control
GSM4187195	9.919074432	11.52862327	10.87448767	10.04893418	Control
GSM4187197	10.11318034	12.09700881	11.48942927	10.31679069	Control
GSM4187198	8.995204864	10.71718839	10.98714967	9.718734382	Control
GSM4187199	9.231458591	11.29735454	10.55994863	9.627271228	Control
GSM4187200	9.858180089	11.91694481	10.89146399	10.04718243	Control
GSM4187201	10.36939174	12.40182112	11.06569359	10.45350437	Control
GSM4187202	9.535885792	11.28540318	11.06928095	9.737630721	Control
GSM4187203	9.289366979	11.13646219	11.15862791	9.500027905	AD
GSM4187204	9.447498851	11.40258533	10.93539028	9.947074414	Control
GSM4187205	10.37909758	11.95820922	11.70291587	10.3836014	Control
GSM4187206	9.798078574	11.49199983	11.13296893	9.454256647	Control
GSM4187207	10.69377692	12.97091837	11.67744035	10.51279149	Control
GSM4187208	10.43144979	12.15068426	11.43990952	10.23076004	Control
GSM4187209	9.152413205	10.89852438	10.7823509	9.812568808	Control
GSM4187210	10.63880512	12.22933256	11.48034507	10.4571508	AD
GSM4187211	10.57400072	12.01812459	11.76662708	10.53205009	AD
GSM4187212	10.141599	11.73953532	11.43006754	10.14687373	Control
GSM4187213	9.146505197	11.30808896	10.540848	9.609283191	Control
GSM4187214	10.44090438	11.9962884	12.08341125	9.869185805	Control
GSM4187216	9.784588184	11.79119964	10.77835619	9.787783685	Control
GSM4187217	9.842184089	10.99540055	11.61548369	9.754265642	AD
GSM4187218	9.607793908	11.37753609	11.15060095	9.574012164	Control
GSM4187220	9.087261858	10.67377706	11.88000373	9.546610306	Control
GSM4187221	9.243485502	11.08607052	11.08698047	9.233388647	Control
GSM4187222	9.194930204	11.73045489	10.60084459	9.648583822	AD
GSM4187223	10.22577118	12.0829956	10.82613992	9.688770532	Control
GSM4187224	9.305364424	11.52778022	10.78288187	9.530375516	AD
GSM4187225	9.387071705	11.3664449	10.74053674	9.659569368	AD
GSM4187226	10.15017854	11.60237263	11.38533856	10.2277629	Control
GSM4187227	9.924318394	11.63446485	10.6286074	9.902377345	Control
GSM4187228	9.322961904	11.58237878	10.60369047	9.496336265	AD
GSM4187229	10.04306683	12.0804335	11.09481618	10.26121029	Control
GSM4187230	9.949693389	11.6090202	11.40497783	10.02764531	Control
GSM4187231	8.857979129	10.51706113	10.96776236	9.464044423	Control
GSM4187232	9.512683097	11.47406536	10.84575914	9.74763284	Control
GSM4187233	10.72619821	11.96689163	11.46403066	10.56819759	Control
GSM4187234	10.10207491	11.92228262	10.87461839	9.831233893	Control
GSM4187235	9.72804585	11.05585117	11.01996873	9.971217258	Control
GSM4187236	8.767101307	11.09498819	10.89457543	9.627928455	Control
GSM4187239	10.82374015	12.57013132	11.377258	10.42003239	Control
GSM4187240	11.31692975	13.0853224	11.02480053	10.84308847	Control
GSM4187242	10.70310875	12.86395211	11.0905789	10.63432734	Control
GSM4187243	10.44520718	12.14487395	11.10816206	10.16355717	Control
GSM4187244	9.122755609	10.95867556	10.87542252	9.298911721	Control
GSM4187245	10.25567703	12.07727559	10.82232961	10.20248074	Control
GSM4187247	9.161583142	10.66606678	10.70318322	9.478436199	AD
GSM4187248	9.456200181	11.17867666	10.10913636	9.111553001	AD
GSM4187249	9.616785	11.37178741	10.54102166	9.47326339	Control
GSM4187250	10.03440059	11.69691434	10.6052266	9.961480134	AD
GSM4187251	10.70685057	12.23098004	11.94776645	10.38272916	AD
GSM4187252	9.981467306	12.05134275	11.20464421	9.817622215	Control
GSM4187253	10.29990602	11.78944102	11.09454517	9.900059062	AD
GSM4187255	10.78086642	12.58852845	11.62691056	10.440821	Control
GSM4187256	9.41853302	11.10657353	11.35403534	10.06026117	Control
GSM4187257	11.10774496	12.5330624	11.56133723	10.53074968	Control
GSM4187258	9.329546194	11.22498218	10.71912339	9.534026176	AD
GSM4187260	9.746613181	11.39848637	11.36494025	10.34305514	AD
GSM4187261	9.775110414	11.22016576	10.99679761	9.869532974	Control
GSM4187262	10.88573535	11.85736328	11.27426186	10.59463449	AD
GSM4187263	10.72846319	12.67599335	11.58563407	10.6325268	Control
GSM4187264	10.5954024	12.45261313	11.09429842	10.9430658	Control
